"Luigi Circuit","Mushroom Cup"
"Moo Moo Meadows","Mushroom Cup"
"Mushroom Gorge","Mushroom Cup"
"Toad's Factory","Mushroom Cup"
"Mario Circuit","Flower Cup"
"Coconut Mall","Flower Cup"
"DK Summit","Flower Cup"
"Wario's Gold Mine","Flower Cup"
"Daisy Circuit","Star Cup"
"Koopa Cape","Star Cup"
"Maple Treeway","Star Cup"
"Grumble Volcano","Star Cup"
"Dry Dry Ruins","Special Cup"
"Moonview Highway","Special Cup"
"Bowser's Castle","Special Cup"
"Rainbow Road","Special Cup"
"GCN Peach Beach","Shell Cup"
"DS Yoshi Falls","Shell Cup"
"SNES Ghost Valley 2","Shell Cup"
"N64 Mario Raceway","Shell Cup"
"N64 Sherbet Land","Banana Cup"
"GBA Shy Guy Beach","Banana Cup"
"DS Delfino Square","Banana Cup"
"GCN Waluigi Stadium","Banana Cup"
"DS Desert Hills","Leaf Cup"
"GBA Bowser Castle 3","Leaf Cup"
"N64 DK's Jungle Parkway","Leaf Cup"
"GCN Mario Circuit","Leaf Cup"
"SNES Mario Circuit 3","Lightning Cup"
"DS Peach Gardens","Lightning Cup"
"GCN DK Mountain","Lightning Cup"
"N64 Bowser's Castle","Lightning Cup"
